OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Never_mean	Daily_mean
ECM-receptor interaction	8.53486933035	0.00348406341827	0.0554196310272	1.0	0.0	0.0301724137931
Mineral absorption	8.50166930003	0.00354820808406	0.0554196310272	1.0	348.211538462	369.637931034
Glycosphingolipid biosynthesis - lacto and neolacto series	7.78588208392	0.00526560754909	0.0785054216409	1.0	36.6204453441	35.3556034483
Biosynthesis of 12-, 14- and 16-membered macrolides	7.36803655825	0.0066393387639	0.0946827441112	1.0	0.77024291498	0.743534482759
Indole alkaloid biosynthesis	7.19508315008	0.00731036033821	0.0999082579555	1.0	1.14473684211	4.85129310345
Chagas disease (American trypanosomiasis)	6.72880174545	0.00948683087742	0.120231079163	1.0	308.553643725	245.125
Phagosome	6.68914572217	0.0097001676665	0.120231079163	1.0	1.63461538462	4.53017241379
Staphylococcus aureus infection	6.65332963662	0.00989707054086	0.120231079163	1.0	484.420040486	419.519396552
1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation	6.3972660276	0.0114296243323	0.133889885036	1.0	19.0981781377	19.4482758621
Amyotrophic lateral sclerosis (ALS)	6.10589602598	0.0134731623742	0.149310504332	1.0	937.831983806	1020.99568966
Stilbenoid, diarylheptanoid and gingerol biosynthesis	6.08202055109	0.013656448567	0.149310504332	1.0	100.228744939	115.340517241
Apoptosis	5.96401944699	0.0146007179866	0.154485016116	1.0	159.355263158	189.015086207
Bacterial toxins	5.76743840734	0.0163258149165	0.165588987938	1.0	9472.86538462	9322.63146552
Glutathione metabolism	5.70058570547	0.0169592526738	0.165588987938	1.0	15596.6902834	15191.6530172
Vibrio cholerae infection	5.67945362874	0.0171647121644	0.165588987938	1.0	16.9504048583	15.6163793103
Ether lipid metabolism	5.62166950821	0.017739742537	0.166246730061	1.0	152.341093117	162.86637931
Arachidonic acid metabolism	5.33181326927	0.0209395889986	0.190782921988	1.0	1926.69635628	1832.40086207
Focal adhesion	5.05177272434	0.024600756839	0.218082384951	1.0	0.00202429149798	0.0344827586207
African trypanosomiasis	4.98143599471	0.0256207082602	0.221147166035	1.0	320.575910931	283.211206897
G protein-coupled receptors	4.86702272715	0.0273746901128	0.229796901523	1.0	2.22165991903	3.28017241379
Melanogenesis	4.82658960745	0.0280240123808	0.229796901523	1.0	1.6012145749	1.57112068966
D-Arginine and D-ornithine metabolism	4.58495389821	0.0322538389188	0.258030711351	1.0	199.962550607	163.808189655
Biosynthesis of type II polyketide products	4.33042750006	0.0374368421351	0.28542832623	1.0	3.04453441296	10.7693965517
Glycosaminoglycan biosynthesis - chondroitin sulfate	4.26155766961	0.0389841592004	0.28542832623	1.0	0.0	0.00431034482759
Cytosolic DNA-sensing pathway	4.2615556455	0.0389842056492	0.28542832623	1.0	0.0	0.0258620689655
Ubiquitin system	4.25394023355	0.0391593740255	0.28542832623	1.0	885.229757085	817.193965517
Biosynthesis of vancomycin group antibiotics	3.90484890949	0.0481469566645	0.342258333342	1.0	5137.02834008	5066.59051724
Germination	3.87387679781	0.0490431148387	0.342258333342	1.0	3003.62044534	3193.55387931
Drug metabolism - cytochrome P450	3.83487912335	0.0501966103937	0.343010171024	1.0	2863.21558704	2659.75862069
Metabolism of xenobiotics by cytochrome P450	3.74603330497	0.05293298918	0.354326947981	1.0	2713.18825911	2526.75
Folate biosynthesis	3.47497330716	0.0623037272989	0.40871245108	1.0	28618.854251	28347.7974138
Sesquiterpenoid biosynthesis	3.3316339902	0.0679593274547	0.437071753042	1.0	0.89979757085	0.969827586207
Biosynthesis of type II polyketide backbone	3.27359351559	0.070403249361	0.444082034431	1.0	1.79352226721	1.05603448276
Metabolism of cofactors and vitamins	3.15398108953	0.0757419621658	0.468742709253	1.0	8725.1082996	8535.78663793
Inorganic ion transport and metabolism	2.98306622771	0.0841397348058	0.492692671842	1.0	17264.0688259	16759.174569
Basal transcription factors	2.97358031345	0.084634352309	0.492692671842	1.0	23.5526315789	36.7349137931
Endocytosis	2.95484770019	0.0856203728506	0.492692671842	1.0	6.24392712551	1.60560344828
GnRH signaling pathway	2.95484770019	0.0856203728506	0.492692671842	1.0	6.24392712551	1.60560344828
Flavone and flavonol biosynthesis	2.87648432717	0.0898820653498	0.49989876597	1.0	387.652834008	400.213362069
Pathways in cancer	2.87579041667	0.0899208146105	0.49989876597	1.0	3792.75506073	3898.05818966
Phosphonate and phosphinate metabolism	2.83180225872	0.0924145964923	0.501828682301	1.0	4691.43724696	4586.63577586
Huntington's disease	2.81601416904	0.093327895184	0.501828682301	1.0	2347.93825911	2399.7887931
Flagellar assembly	2.66844078129	0.102356256643	0.541396951429	1.0	28218.1589069	28526.1228448
Chlorocyclohexane and chlorobenzene degradation	2.64329255747	0.103987829086	0.541396951429	1.0	1168.03340081	1111.91594828
Phosphatidylinositol signaling system	2.6076207913	0.106351212723	0.545049965207	1.0	7225.86740891	7095.70258621
Nucleotide metabolism	2.54728643184	0.11048386711	0.557518590955	1.0	2869.7034413	2798.86206897
Phosphotransferase system (PTS)	2.49168026419	0.114449478289	0.567828367347	1.0	27171.9716599	26358.6724138
Antigen processing and presentation	2.44780926714	0.117689018032	0.567828367347	1.0	3216.4888664	3291.05818966
Progesterone-mediated oocyte maturation	2.44738929472	0.117720515182	0.567828367347	1.0	3216.4888664	3291.05603448
Biosynthesis of unsaturated fatty acids	2.26993542271	0.131905398498	0.627028560975	1.0	10310.9210526	9994.36853448
Bacterial chemotaxis	2.24010489607	0.134471857536	0.630096703885	1.0	33134.909919	33747.2715517
Rheumatoid arthritis	2.12931034491	0.14450575972	0.666229676369	1.0	0.0	0.00215517241379
Phenylpropanoid biosynthesis	2.09818924076	0.147473697606	0.666229676369	1.0	13880.3704453	14167.612069
Fc gamma R-mediated phagocytosis	2.08989020136	0.148276726753	0.666229676369	1.0	6.25708502024	1.6099137931
Neuroactive ligand-receptor interaction	1.9732300452	0.160105427888	0.709656491181	1.0	0.378542510121	0.349137931034
Plant-pathogen interaction	1.89975276739	0.168105994838	0.735183550759	1.0	12313.4078947	12503.2284483
Primary bile acid biosynthesis	1.86513357437	0.172033479528	0.742460280069	1.0	3181.52834008	3134.20258621
Pancreatic secretion	1.84068839403	0.174870284693	0.744901991939	1.0	0.470647773279	0.396551724138
Energy metabolism	1.7932493378	0.18053076426	0.759155008684	1.0	67711.0981781	68512.9224138
Proximal tubule bicarbonate reclamation	1.76906831576	0.183497424335	0.761862723823	1.0	2184.70242915	2073.0
Pathogenic Escherichia coli infection	1.71784011543	0.18997130708	0.772941744634	1.0	2.83603238866	3.04310344828
Nitrotoluene degradation	1.71082083143	0.190878906449	0.772941744634	1.0	5701.91093117	5882.78448276
Naphthalene degradation	1.65216897928	0.198663978343	0.787678502522	1.0	10902.4645749	10610.3275862
Toluene degradation	1.64734200757	0.19932108448	0.787678502522	1.0	6990.97368421	7003.53017241
Glycosphingolipid biosynthesis - globo series	1.56787338867	0.210516118174	0.805885828718	1.0	10961.4089069	10774.1616379
Leishmaniasis	1.56413580633	0.211060684724	0.805885828718	1.0	0.0212550607287	0.0323275862069
Atrazine degradation	1.56250146589	0.21129933314	0.805885828718	1.0	1915.05161943	1775.07758621
Alzheimer's disease	1.54209935876	0.21430559014	0.807956707655	1.0	3970.08502024	4073.30172414
Meiosis - yeast	1.49628942957	0.221243177652	0.81846249323	1.0	453.903846154	402.941810345
Synthesis and degradation of ketone bodies	1.490861698	0.222082810663	0.81846249323	1.0	3040.42004049	3042.33189655
Carbohydrate metabolism	1.43871809844	0.230346892648	0.839486453207	1.0	14642.7732794	14562.2392241
Others	1.4105225709	0.234969662879	0.842196426254	1.0	70758.2348178	70021.7607759
Cyanoamino acid metabolism	1.38876826686	0.238613220014	0.842196426254	1.0	23629.2935223	23923.2068966
Function unknown	1.37016635004	0.241783304526	0.842196426254	1.0	95313.708502	94342.9331897
Pores ion channels	1.33799263193	0.247388282045	0.842196426254	1.0	30366.3552632	29568.862069
Bacterial motility proteins	1.32869342724	0.24903779148	0.842196426254	1.0	69739.8623482	69637.1357759
Cytoskeleton proteins	1.32560099397	0.249589315816	0.842196426254	1.0	29185.9261134	29644.9741379
Xylene degradation	1.31080787086	0.252248438037	0.842196426254	1.0	4055.18724696	3989.61422414
Circadian rhythm - plant	1.30746536706	0.25285407769	0.842196426254	1.0	135.468623482	123.584051724
Ion channels	1.3000749636	0.254199531095	0.842196426254	1.0	1015.68421053	961.228448276
Systemic lupus erythematosus	1.26045765247	0.261564481001	0.857931497684	1.0	128.436234818	106.976293103
Secondary bile acid biosynthesis	1.23957789901	0.265552418482	0.8623880521	1.0	3106.77530364	3065.70689655
Biosynthesis and biodegradation of secondary metabolites	1.21652339643	0.270044017487	0.868376840548	1.0	4909.44331984	4981.76293103
Penicillin and cephalosporin biosynthesis	1.15817258655	0.281844852519	0.89069545631	1.0	2416.70445344	2318.19612069
Sphingolipid metabolism	1.15542858852	0.282415632488	0.89069545631	1.0	22794.6123482	22551.9181034
Protein folding and associated processing	1.10943888919	0.292203954088	0.900259165726	1.0	48292.2753036	47853.7780172
Glycosyltransferases	1.10294532028	0.293620637086	0.900259165726	1.0	26132.3491903	25775.9827586
Prostate cancer	1.10266447631	0.293682105892	0.900259165726	1.0	3490.94736842	3557.6487069
Photosynthesis proteins	1.06369091841	0.30237487911	0.911606906937	1.0	30450.784413	30870.0603448
Amino sugar and nucleotide sugar metabolism	1.05223227427	0.304993533679	0.911606906937	1.0	112447.045547	112304.0
Photosynthesis	1.04906801711	0.305721828546	0.911606906937	1.0	30202.4149798	30591.5581897
Tyrosine metabolism	0.994665013737	0.318604871063	0.92555635169	1.0	24991.8360324	24656.1810345
Fructose and mannose metabolism	0.994129546325	0.318735167497	0.92555635169	1.0	73383.5394737	73440.5538793
Fatty acid metabolism	0.993594421771	0.31886545043	0.92555635169	1.0	19194.5597166	18872.637931
Dioxin degradation	0.980127939931	0.322167221897	0.92693727002	1.0	4265.06072874	4160.93965517
Sporulation	0.909941227844	0.34013001318	0.968831410506	1.0	54414.5688259	55900.8663793
Biosynthesis of siderophore group nonribosomal peptides	0.87331662589	0.350038759874	0.968831410506	1.0	2014.51619433	2003.12284483
NOD-like receptor signaling pathway	0.856589605378	0.354694829407	0.968831410506	1.0	3564.31882591	3620.15301724
Cell division	0.847050625122	0.357388042779	0.968831410506	1.0	5915.80263158	5981.94612069
Lipoic acid metabolism	0.802201050089	0.37043610545	0.968831410506	1.0	2952.89979757	2882.07327586
Ascorbate and aldarate metabolism	0.782369125238	0.376417555043	0.968831410506	1.0	7849.40890688	7784.77155172
Pentose and glucuronate interconversions	0.771013218213	0.379903787577	0.968831410506	1.0	44622.2044534	44884.8125
Lysosome	0.758337352008	0.38384934542	0.968831410506	1.0	11715.8279352	11429.9482759
Steroid hormone biosynthesis	0.750410456951	0.386346308786	0.968831410506	1.0	2436.47672065	2308.83836207
Butirosin and neomycin biosynthesis	0.741137582497	0.389296713413	0.968831410506	1.0	5699.57793522	5777.86853448
Chloroalkane and chloroalkene degradation	0.740906252229	0.389370727798	0.968831410506	1.0	13541.0151822	13406.9396552
Glycosaminoglycan degradation	0.730086006692	0.392855311798	0.968831410506	1.0	8087.52935223	7843.23922414
Protein export	0.727565094946	0.393673576327	0.968831410506	1.0	44390.6578947	44804.4698276
Inositol phosphate metabolism	0.708797753795	0.399843217622	0.968831410506	1.0	7702.32591093	7705.01939655
Glycosphingolipid biosynthesis - ganglio series	0.702371063636	0.401988127628	0.968831410506	1.0	5541.62246964	5396.53663793
Terpenoid backbone biosynthesis	0.701021733359	0.402440589879	0.968831410506	1.0	43059.5242915	43409.5711207
Caffeine metabolism	0.696356070384	0.404010822972	0.968831410506	1.0	127.609311741	105.00862069
Prion diseases	0.681946987959	0.408917091055	0.968831410506	1.0	298.881578947	306.862068966
Cell cycle - Caulobacter	0.662786974792	0.415577757229	0.968831410506	1.0	36853.9311741	37377.4956897
VEGF signaling pathway	0.655261651952	0.418237759303	0.968831410506	1.0	0.0273279352227	0.0323275862069
beta-Lactam resistance	0.650064390205	0.420089659316	0.968831410506	1.0	2496.76619433	2470.10344828
Bacterial invasion of epithelial cells	0.647937562837	0.420851021126	0.968831410506	1.0	58.9109311741	51.3577586207
Zeatin biosynthesis	0.647038104032	0.421173629311	0.968831410506	1.0	4094.32591093	4124.02801724
Clavulanic acid biosynthesis	0.643068936577	0.422601670805	0.968831410506	1.0	0.0323886639676	0.0538793103448
Streptomycin biosynthesis	0.632010408412	0.426618840502	0.968831410506	1.0	26713.1366397	26689.2284483
Fatty acid elongation in mitochondria	0.624296811854	0.429455031051	0.968831410506	1.0	125.130566802	101.592672414
Carbohydrate digestion and absorption	0.623610119881	0.429708898014	0.968831410506	1.0	822.398785425	810.806034483
Aminobenzoate degradation	0.622337802808	0.430179868275	0.968831410506	1.0	9660.53947368	9466.64439655
Other ion-coupled transporters	0.621384942736	0.430533097779	0.968831410506	1.0	100819.788462	100438.484914
Vasopressin-regulated water reabsorption	0.618544304244	0.431588746464	0.968831410506	1.0	0.0981781376518	0.125
Galactose metabolism	0.615579368656	0.432694779736	0.968831410506	1.0	62977.0091093	62783.1034483
Amino acid metabolism	0.6142112586	0.433206588587	0.968831410506	1.0	15371.3765182	15311.8965517
Calcium signaling pathway	0.611557775992	0.434201882147	0.968831410506	1.0	2.52024291498	1.76724137931
Restriction enzyme	0.589946216151	0.442439917351	0.980542519536	1.0	16262.9888664	16167.5969828
Tetracycline biosynthesis	0.570521254991	0.450051857868	0.990718183762	1.0	10658.6427126	10625.3125
Cellular antigens	0.559725222893	0.454370975617	0.991173151008	1.0	3649.59311741	3552.01939655
Cell motility and secretion	0.554815450244	0.456356751915	0.991173151008	1.0	13677.3097166	13319.9375
Citrate cycle (TCA cycle)	0.547541100809	0.45932414315	0.991173151008	1.0	46193.5668016	46247.5948276
Bile secretion	0.530723100405	0.46630301165	0.993283994662	1.0	13.0060728745	19.9030172414
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0.530589924106	0.466358948713	0.993283994662	1.0	0.0253036437247	0.0258620689655
Polycyclic aromatic hydrocarbon degradation	0.513427809178	0.473658736852	1.0	1.0	8680.02834008	8660.17025862
Transcription related proteins	0.49844200324	0.48018549349	1.0	1.0	445.011133603	451.051724138
Styrene degradation	0.495884676646	0.481313962333	1.0	1.0	1611.85526316	1613.36422414
Hypertrophic cardiomyopathy (HCM)	0.483271511969	0.48694418122	1.0	1.0	23.8603238866	16.9784482759
Other glycan degradation	0.477902738799	0.489373828631	1.0	1.0	30125.4058704	29809.2607759
Selenocompound metabolism	0.471429700438	0.492330173781	1.0	1.0	27677.4949393	27537.6875
DNA replication proteins	0.461164560139	0.49708021685	1.0	1.0	91220.409919	92150.5538793
Drug metabolism - other enzymes	0.459252502426	0.497973524473	1.0	1.0	23911.8319838	24096.8362069
Glycerophospholipid metabolism	0.443472535226	0.505451154927	1.0	1.0	43326.8036437	43647.6487069
Amoebiasis	0.437505206784	0.508329050148	1.0	1.0	774.410931174	778.165948276
Flavonoid biosynthesis	0.424115552541	0.514890574599	1.0	1.0	440.368421053	442.644396552
Porphyrin and chlorophyll metabolism	0.418537905574	0.517667503964	1.0	1.0	70519.0050607	71586.1616379
Lipopolysaccharide biosynthesis proteins	0.409298290847	0.522325880209	1.0	1.0	26547.8137652	26134.3168103
Aldosterone-regulated sodium reabsorption	0.394924742648	0.529722040585	1.0	1.0	0.0941295546559	0.073275862069
Oxidative phosphorylation	0.390792702835	0.531883017598	1.0	1.0	84962.7834008	85982.8857759
Propanoate metabolism	0.388446893228	0.533116912296	1.0	1.0	38030.0303644	37814.0215517
Bladder cancer	0.374728415964	0.54043809031	1.0	1.0	65.1305668016	56.7004310345
Steroid biosynthesis	0.374361398819	0.540636477256	1.0	1.0	391.62854251	327.954741379
Chromosome	0.360041791833	0.548483026305	1.0	1.0	117371.100202	118049.814655
One carbon pool by folate	0.353228685438	0.552291115334	1.0	1.0	47352.1295547	47673.5732759
Lipopolysaccharide biosynthesis	0.34806255947	0.555211922414	1.0	1.0	17795.5617409	17402.0366379
Glycan biosynthesis and metabolism	0.341443238954	0.558997339373	1.0	1.0	2274.78947368	2249.48922414
Lysine degradation	0.325783798185	0.568152351159	1.0	1.0	11087.8552632	11103.0172414
Tropane, piperidine and pyridine alkaloid biosynthesis	0.319380443641	0.571980213701	1.0	1.0	8875.05566802	8874.32974138
RNA transport	0.305798414778	0.580269963833	1.0	1.0	10209.9534413	10366.4094828
Glycan bindng proteins	0.300824282769	0.583366130424	1.0	1.0	0.00101214574899	0.00646551724138
Valine, leucine and isoleucine degradation	0.298787892307	0.584643303051	1.0	1.0	18745.1265182	18746.3232759
Bisphenol degradation	0.296956604785	0.585796676828	1.0	1.0	6715.75303644	6768.44181034
Tuberculosis	0.294256455183	0.587505716433	1.0	1.0	11884.3248988	11956.7887931
Pentose phosphate pathway	0.271418781822	0.602381625574	1.0	1.0	67906.652834	67879.4719828
Ribosome	0.268072699668	0.604627561379	1.0	1.0	171646.418016	172854.077586
Other transporters	0.267100718667	0.605283298957	1.0	1.0	21159.4291498	21215.25
Nucleotide excision repair	0.264195189341	0.607252542003	1.0	1.0	29151.9807692	29108.1767241
Endocrine and other factor-regulated calcium reabsorption	0.262733558768	0.608248352441	1.0	1.0	0.0921052631579	0.0474137931034
Gastric acid secretion	0.262733558768	0.608248352441	1.0	1.0	0.0921052631579	0.0474137931034
Salivary secretion	0.262733558768	0.608248352441	1.0	1.0	0.0921052631579	0.0474137931034
Tryptophan metabolism	0.262542072707	0.608379071085	1.0	1.0	11351.1477733	11309.0452586
Translation factors	0.257000938112	0.612188077707	1.0	1.0	39248.8481781	39528.7176724
Histidine metabolism	0.245696722739	0.620121580605	1.0	1.0	49889.7257085	50170.1400862
Lipid biosynthesis proteins	0.228446588958	0.632678059139	1.0	1.0	47015.8532389	47087.0948276
Polyketide sugar unit biosynthesis	0.225505145825	0.634876911956	1.0	1.0	17432.2287449	17469.049569
Epithelial cell signaling in Helicobacter pylori infection	0.225441473718	0.634924703472	1.0	1.0	6856.64271255	6910.11206897
Protein kinases	0.224232164801	0.635833970343	1.0	1.0	23279.3350202	23139.1271552
Nicotinate and nicotinamide metabolism	0.217483034802	0.640964448157	1.0	1.0	31966.8410931	32032.075431
Shigellosis	0.216587493337	0.641652470073	1.0	1.0	13.5182186235	7.45043103448
Peroxisome	0.205509343458	0.650310137341	1.0	1.0	14191.6174089	14207.6163793
beta-Alanine metabolism	0.200850844139	0.654034943927	1.0	1.0	15041.1497976	15092.4224138
Lysine biosynthesis	0.19630518839	0.657719867656	1.0	1.0	64001.0819838	64497.4762931
Bacterial secretion system	0.195414177663	0.658448134278	1.0	1.0	44921.4838057	45070.5818966
Adipocytokine signaling pathway	0.188708836714	0.663993420974	1.0	1.0	6066.3451417	5989.69181034
Pantothenate and CoA biosynthesis	0.181834030091	0.669801818778	1.0	1.0	48624.9331984	48892.5021552
Peptidoglycan biosynthesis	0.180805266068	0.670682119045	1.0	1.0	60416.2530364	60726.987069
Ribosome biogenesis in eukaryotes	0.180691335898	0.670779789388	1.0	1.0	3640.90688259	3613.86422414
Biotin metabolism	0.180064123821	0.671318139339	1.0	1.0	12051.4908907	12077.0237069
Transporters	0.168412235449	0.68152677639	1.0	1.0	475744.157895	472729.439655
Pyrimidine metabolism	0.152974770983	0.695708616759	1.0	1.0	134557.699393	135267.915948
Vibrio cholerae pathogenic cycle	0.151717553802	0.696899376355	1.0	1.0	5298.84412955	5339.6487069
D-Glutamine and D-glutamate metabolism	0.149011116357	0.699482167631	1.0	1.0	11233.798583	11272.4202586
Glycine, serine and threonine metabolism	0.143112250523	0.705206409742	1.0	1.0	63266.5668016	63120.25
Type I diabetes mellitus	0.142402469758	0.705904217897	1.0	1.0	4127.85121457	4142.75
RIG-I-like receptor signaling pathway	0.141558000635	0.70673703533	1.0	1.0	95.8127530364	82.9655172414
Hematopoietic cell lineage	0.141438447831	0.70685516756	1.0	1.0	0.0192307692308	0.0495689655172
Prenyltransferases	0.13842904974	0.709847770847	1.0	1.0	23836.6325911	23922.1271552
Electron transfer carriers	0.138079994405	0.710197267629	1.0	1.0	1140.39979757	1064.43965517
Ribosome Biogenesis	0.13456123831	0.713748889608	1.0	1.0	104841.27834	105298.480603
Primary immunodeficiency	0.134512126517	0.713798831068	1.0	1.0	3449.10728745	3467.35560345
Purine metabolism	0.133872822998	0.714449880391	1.0	1.0	163977.777328	163702.140086
Cysteine and methionine metabolism	0.130845340537	0.717557166105	1.0	1.0	71479.9615385	71331.3771552
Nitrogen metabolism	0.129199814544	0.719263145406	1.0	1.0	54326.6538462	54225.8577586
Cytochrome P450	0.123371690678	0.72540600455	1.0	1.0	0.223684210526	2.09267241379
Homologous recombination	0.117972642479	0.731243809465	1.0	1.0	68840.9706478	69147.9159483
Protein digestion and absorption	0.114631334286	0.734931805942	1.0	1.0	2045.83198381	2028.05818966
Arginine and proline metabolism	0.11165160848	0.738271581351	1.0	1.0	97458.5748988	97959.6271552
Insulin signaling pathway	0.111606795256	0.738322185646	1.0	1.0	7237.16497976	7215.07543103
Cytokine receptors	0.111175700277	0.738809567564	1.0	1.0	0.342105263158	0.176724137931
Cytokine-cytokine receptor interaction	0.111175700277	0.738809567564	1.0	1.0	0.342105263158	0.176724137931
Biosynthesis of ansamycins	0.10924291738	0.741007715164	1.0	1.0	8649.29757085	8724.84913793
Glycolysis / Gluconeogenesis	0.108534246962	0.741819085195	1.0	1.0	84694.8137652	84515.6982759
Caprolactam degradation	0.102002929945	0.749439151845	1.0	1.0	2474.50607287	2315.86422414
D-Alanine metabolism	0.095217961752	0.757645541761	1.0	1.0	7443.28137652	7414.51508621
Renal cell carcinoma	0.0948459873909	0.758104583828	1.0	1.0	519.5	499.405172414
Thiamine metabolism	0.0931992948319	0.760148645735	1.0	1.0	38366.2742915	38529.1487069
Type II diabetes mellitus	0.0931174608574	0.760250740548	1.0	1.0	3596.7854251	3606.48922414
Sulfur relay system	0.0931173632154	0.760250862394	1.0	1.0	20350.5040486	20343.549569
Butanoate metabolism	0.0915674692805	0.762193821215	1.0	1.0	47178.1305668	47181.7349138
Two-component system	0.0867189400141	0.768390534727	1.0	1.0	111258.874494	111267.635776
Starch and sucrose metabolism	0.0853410653035	0.770185753325	1.0	1.0	83185.5263158	83467.7693966
Fluorobenzoate degradation	0.0802853001907	0.776911152597	1.0	1.0	499.883603239	462.284482759
Amino acid related enzymes	0.0779787318617	0.78005548999	1.0	1.0	110503.064777	110918.068966
Chaperones and folding catalysts	0.0749723407519	0.784230042366	1.0	1.0	78263.3502024	78455.6939655
Carotenoid biosynthesis	0.0682226804766	0.793942351552	1.0	1.0	475.312753036	507.8125
Replication, recombination and repair proteins	0.0675578359688	0.794926330033	1.0	1.0	57349.8734818	57384.1702586
Mismatch repair	0.0650008926966	0.798759611717	1.0	1.0	59961.541498	60349.1573276
Non-homologous end-joining	0.063470247961	0.801092834164	1.0	1.0	993.950404858	891.534482759
Peptidases	0.0601336847718	0.806284770943	1.0	1.0	142535.935223	142598.739224
General function prediction only	0.0592482914002	0.80768801536	1.0	1.0	274809.951417	276055.732759
Lipid metabolism	0.0551087351213	0.814400838887	1.0	1.0	10895.9706478	10946.5107759
Novobiocin biosynthesis	0.0543238392657	0.81570336128	1.0	1.0	9971.75506073	9959.56465517
Protein processing in endoplasmic reticulum	0.0527709438206	0.818309918643	1.0	1.0	5486.17813765	5499.44612069
Fatty acid biosynthesis	0.0504234581057	0.822328056678	1.0	1.0	37096.3269231	37106.1422414
Signal transduction mechanisms	0.0492846575712	0.824312730419	1.0	1.0	35369.4939271	35199.0862069
Phenylalanine metabolism	0.0471917661994	0.828023916679	1.0	1.0	15333.1558704	15266.075431
Phenylalanine, tyrosine and tryptophan biosynthesis	0.0464656281236	0.829331615955	1.0	1.0	64495.8026316	64758.4762931
Proteasome	0.0402376968932	0.841016548905	1.0	1.0	3381.41396761	3393.06896552
Aminoacyl-tRNA biosynthesis	0.0394339849204	0.842591361721	1.0	1.0	86010.2692308	86263.5150862
Chronic myeloid leukemia	0.0378854785392	0.845673280171	1.0	1.0	0.745951417004	3.92025862069
Notch signaling pathway	0.0378854785392	0.845673280171	1.0	1.0	0.745951417004	3.92025862069
Wnt signaling pathway	0.0378854785392	0.845673280171	1.0	1.0	0.745951417004	3.92025862069
Secretion system	0.0378248735088	0.845795217307	1.0	1.0	88836.8846154	88062.3965517
Geraniol degradation	0.0376423829709	0.846163001201	1.0	1.0	4780.95647773	4592.41594828
ABC transporters	0.037356458321	0.846741106963	1.0	1.0	233560.327935	232279.989224
Taurine and hypotaurine metabolism	0.0371492353686	0.847161522993	1.0	1.0	8608.58906883	8582.62931034
MAPK signaling pathway - yeast	0.0361982290292	0.849106711422	1.0	1.0	3472.19534413	3465.79741379
Pyruvate metabolism	0.0346572136174	0.852315777841	1.0	1.0	80446.1690283	80392.1530172
C5-Branched dibasic acid metabolism	0.0341096781257	0.853473714741	1.0	1.0	24239.7742915	24317.3318966
Membrane and intracellular structural molecules	0.0335910935787	0.854579321197	1.0	1.0	44647.51417	44179.9590517
Ethylbenzene degradation	0.0297704481584	0.863012114051	1.0	1.0	3002.72975709	2982.4762931
Riboflavin metabolism	0.0252548177657	0.873733758976	1.0	1.0	18640.6336032	18678.3383621
Methane metabolism	0.0238251917343	0.877330533686	1.0	1.0	92277.0273279	93196.625
Ubiquinone and other terpenoid-quinone biosynthesis	0.0231464196528	0.879076930555	1.0	1.0	12890.2489879	12667.3318966
